HM269	-0.0200218452357252	-0.000696926643407492	M. truncatula	PI660470 SSD	N/A	USDA-ARS, Washington	N/A	N/A	N/A
HM270	0.0871904510398529	0.0613343891592937	M. truncatula	PI493297 SSD	Portugal	USDA-ARS, Washington	N/A	N/A	Portugal
HM271	0.0734102278366425	0.0717271792677411	M. truncatula	PI384664 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM276	0.0747711862153675	-0.0779154945265848	M. truncatula	PI577627 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM277	0.0732066856081936	-0.0759568024605371	M. truncatula	PI577621 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM278	-0.0299593690812411	0.0153600169106629	M. truncatula	PI577635 SSD	France	USDA-ARS, Washington	N/A	N/A	France
HM279	0.0282496011203805	-0.133943376356315	M. truncatula	PI660460 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM280	-0.0246946087805948	0.0199372750864948	Damas lines	D1.2.3	France	ENSAT-Toulouse	N/A	N/A	France
HM282	-0.0285572650623198	0.0198748255534922	Damas lines	D3.3.3	France	ENSAT-Toulouse	N/A	N/A	France
HM283	-0.0347519698583702	0.0213882290224214	Damas lines	D4.2.1	France	ENSAT-Toulouse	N/A	N/A	France
HM284	-0.0379889755637511	0.0237418619487591	Damas lines	D5.3.1	France	ENSAT-Toulouse	N/A	N/A	France
HM285	-0.0354921685407415	0.0251288383136626	Damas lines	D6.2.1	France	ENSAT-Toulouse	N/A	N/A	France
HM286	-0.0384888458521659	0.024872597309571	Damas lines	D7.1.3	France	ENSAT-Toulouse	N/A	N/A	France
HM287	-0.0388678037901926	0.0163580981956824	M. truncatula	PI577607 SSD	Lebanon	USDA-ARS, Washington	N/A	N/A	Lebanon
HM288	0.0917427689821553	0.0467275460018443	M. truncatula	PI577611 SSD	Germany	USDA-ARS, Washington	N/A	N/A	Germany
HM289	-0.0296029267831668	0.00994865750342705	M. truncatula	PI577617 SSD	Greece	USDA-ARS, Washington	N/A	N/A	Greece
HM290	-0.0393518948932194	0.0161319714041365	M. truncatula	PI577640 SSD	U.S.	USDA-ARS, Washington	N/A	N/A	U.S.
HM293	-0.0369246806124202	0.016547222178439	M. truncatula	PI660411 SSD	Italy	USDA-ARS, Washington	N/A	N/A	Italy
HM294	0.0288391959059923	-0.164693641382755	M. truncatula	PI660433 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM295	-0.0411544819706412	-0.00157789377280815	M. truncatula	PI660442 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM296	-0.0247131131849016	-0.0388176982861324	M. truncatula	PI660444 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM297	-0.0258185384120686	-0.032286928310029	M. truncatula	PI660447 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM298	0.0287904946233803	-0.159742688695606	M. truncatula	PI660448 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM299	0.100618869169839	0.0197093336689189	M. truncatula	PI660456 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM300	-0.0290016235373699	0.0139772084759383	M. truncatula	PI660488 SSD	Italy	USDA-ARS, Washington	N/A	N/A	Italy
HM301	-0.0379061538930861	0.0156015741655593	M. truncatula	PI660494 SSD	Italy	USDA-ARS, Washington	N/A	N/A	Italy
HM302	-0.0458610471853267	0.0171496876955699	M. truncatula	PI283662 SSD	Italy	USDA-ARS, Washington	N/A	N/A	Italy
HM304	0.0924655037005741	0.0181093035710978	M. truncatula	PI384660 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM305	0.104945165537936	0.000583009494093768	M. truncatula	PI384662 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM306	0.0398127329326107	0.0518286343261936	M. truncatula	PI493295 SSD	Poland	USDA-ARS, Washington	N/A	N/A	Poland
HM307	0.10542703831139	0.0201921799194182	M. truncatula	PI516927 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM308	0.030949884442366	0.0237493229524142	M. truncatula	PI516933 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM309	0.108281080083193	0.0165269547501916	M. truncatula	PI516939 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM310	-0.049005578576666	0.00331643465284595	M. truncatula	PI535651 SSD	Tunisia	USDA-ARS, Washington	N/A	N/A	Tunisia
HM312	-0.0382290000932905	0.00797417287549827	M. truncatula	PI577609 SSD	Sweden	USDA-ARS, Washington	N/A	N/A	Sweden
HM313	-0.0384837440499634	0.0162205325444059	M. truncatula	PI660408 SSD	Canada	USDA-ARS, Washington	N/A	N/A	Canada
HM314	-0.0432283013344134	0.0156193640957017	M. truncatula	PI660361 SSD	Greece	USDA-ARS, Washington	N/A	N/A	Greece
HM315	-0.0420640807545729	0.0183593927757381	M. truncatula	PI660387 SSD	France	USDA-ARS, Washington	N/A	N/A	France
HM316	-0.0391326671346788	0.0136037803060107	M. truncatula	PI660421 SSD	Australia	USDA-ARS, Washington	N/A	N/A	Australia
