HM052	0.0395059540730838	-0.223201665110343	CC64	DZA210-3	Algeria	INRA-Montpellier	35.857	2.039	Algeria
HM053	-0.0478820172176531	-0.0196569323813636	CC64	DZA246-6	Algeria	INRA-Montpellier	36.302	7.15	Algeria
HM054	0.0978167551249153	-0.052012037663131	CC64	DZA309-A	Algeria	INRA-Montpellier	34.803	-1.674	Algeria
HM055	0.0745244450785535	-0.0752815371505297	CC64	DZA326	Algeria	INRA-Montpellier	35.216	-0.984	Algeria
HM056	0.0796154691921227	0.132811844730384	CC64	ESP074-A	Spain	INRA-Montpellier	41.121	0.988	Spain
HM057	0.116063292479678	0.036809097754236	CC64	ESP155-D	Spain	INRA-Montpellier	37.534	-5.964	Spain
HM058	0.1037941079942	0.124634064688442	CC64	ESP163-E	Spain	INRA-Montpellier	36.989	-4.285	Spain
HM059	-0.00815063192143342	0.0010605572204498	CC64	F11012-A	France	INRA-Montpellier	43.007	2.723	France
HM060	-0.0413764896464285	-0.0063335966947558	CC64	F20015-10	France, Corsica	INRA-Montpellier	42.084	9.369	France, Corsica
HM061	-0.0446483549364361	-0.00506662347445846	CC64	GRC033-B2	Greece	INRA-Montpellier	36.915	22.5	Greece
HM062	-0.0224727373459412	0.0204525780144455	CC64	GRC063-D	Greece	INRA-Montpellier	40.159	23.732	Greece
HM063	0.0490848895426234	0.0449122905370858	CC64	PRT176-F	Portugal	INRA-Montpellier	37.153	-7.726	Portugal
HM064	0.0130270963875563	0.0336141514534654	CC64	PRT178-D	Portugal	INRA-Montpellier	37.206	-8.488	Portugal
HM065	0.105280877610133	0.0637804404975002	CC64	PRT179-J	Portugal	INRA-Montpellier	37.075	-8.8	Portugal
HM066	-0.042918371985462	0.022337848964457	CC64	SA01489	Israel	INRA-Montpellier	32.683	35.4	Israel
HM067	0.0233364378851135	-0.134045439372119	CC64	SA01526	Algeria	INRA-Montpellier	36	3	Algeria
HM068	0.0306562198705707	0.0215723846614781	CC64	SA03648	Portugal	INRA-Montpellier	37.15	-7.55	Portugal
HM069	-0.0445676063712328	0.0179411495456238	CC64	SA07749	Tunisia	INRA-Montpellier	36.217	10.28	Tunisia
HM070	0.075169946159539	0.0546504145021497	CC64	SA08625	Morocco	INRA-Montpellier	33	-6	Morocco
HM071	0.0360291545248115	0.0263610700901345	CC64	SA08626	Morocco	INRA-Montpellier	29.717	-9.6	Morocco
HM072	-0.0342407566287257	-0.0258940530519889	CC64	SA09357	Algeria	INRA-Montpellier	36.65	7.42	Algeria
HM073	-0.0112987035454437	0.00434709584320879	CC64	SA09710	Tunisia	INRA-Montpellier	35.75	8.52	Tunisia
HM074	-0.0191969742662946	-0.0263462386664444	CC64	SA09866	Algeria	INRA-Montpellier	36.65	7.42	Algeria
HM075	-0.0126189205397394	0.0121996186161216	CC64	SA12451	Italy	INRA-Montpellier	39.117	8.93	Italy
HM076	-0.0472541926461608	-0.00639044205999362	CC64	SA23859	Tunisia	INRA-Montpellier	36.417	9.25	Tunisia
HM077	-0.0585181726765471	0.00670326591535989	CC64	SA27062	Greece	INRA-Montpellier	38.083	22.57	Greece
HM078	-0.0359214320552643	0.0198222101627036	CC64	SA27063	Greece	INRA-Montpellier	38.083	22.57	Greece
HM079	-0.0271374648135869	-0.0494235068880998	CC96	DZA045-4c	Algeria	INRA-Montpellier	36.923	7.736	Algeria
HM080	-0.036026424146362	-0.0485131368625951	CC96	DZA061-B3d	Algeria	INRA-Montpellier	36.5	7.404	Algeria
HM081	0.0885725379065063	-0.107784873294379	CC96	DZA202-5	Algeria	INRA-Montpellier	35.221	0.121	Algeria
HM082	0.0374849933611433	-0.256654364173637	CC96	DZA210-2	Algeria	INRA-Montpellier	35.857	2.039	Algeria
HM083	0.0385874052853809	-0.226116547227747	CC96	DZA210-5	Algeria	INRA-Montpellier	35.857	2.039	Algeria
HM084	-0.0245070629984682	0.00233057372213104	CC96	DZA243-6	Algeria	INRA-Montpellier	35.809	7.367	Algeria
HM085	0.0967841651577486	-0.104110267662192	CC96	DZA319	Algeria	INRA-Montpellier	35.288	-0.571	Algeria
HM086	0.0990113937760881	-0.105014960471273	CC96	DZA322--	Algeria	INRA-Montpellier	35.387	-0.841	Algeria
HM087	0.093052079628608	-0.116618546717401	CC96	DZA323-1	Algeria	INRA-Montpellier	35.633	-0.874	Algeria
HM088	0.0998346732019618	-0.124809256755757	CC96	DZA323-D	Algeria	INRA-Montpellier	35.633	-0.874	Algeria
HM089	0.0837885829861165	0.0248417601926117	CC96	ESP155-A	Spain	INRA-Montpellier	37.534	-5.964	Spain
HM091	0.0022814885053957	0.0559984742102392	CC96	ESP171-F	Spain	INRA-Montpellier	36.388	-6.113	Spain
HM092	0.0858056128457006	0.070052359126035	CC96	ESP174-A	Spain	INRA-Montpellier	37.333	-6.761	Spain
HM093	0.109714620296832	0.0371240214577733	CC96	ESP173-A	Spain	INRA-Montpellier	37.391	-6.233	Spain
HM095	-0.0492786206658766	0.00781199142170632	CC96	F20025-4	France, Corsica	INRA-Montpellier	42.756	9.451	France, Corsica
