File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
id586.png,Full,1859,2260,2102.461401,1.074931,668.54929,0.422181,0.381,1.967931,3156.149224,388.377227,2824.489932,3.536,2102.461401,0,0,898.956641,0,0,2824.489932,0,0,388.377227,0,0
id587.png,Full,2018,3506,3387.613233,1.034947,1023.736304,0.374326,0.34909,1.423055,5515.761292,451.340851,4016.071689,3.793,3387.613233,0,0,1277.909186,0,0,4016.071689,0,0,451.340851,0,0
id588.png,Full,311,337,465.137152,0.724517,160.837044,0.414916,0.399372,1.325243,781.606493,74.383369,612.147079,0.443,465.137152,0,0,194.852467,0,0,612.147079,0,0,74.383369,0,0
id589.png,Full,1019,1841,1872.170441,0.983351,607.717423,0.407846,0.381,1.634089,2992.867728,293.849799,2413.858996,2.116,1872.170441,0,0,768.136006,0,0,2413.858996,0,0,293.849799,0,0
id590.png,Full,1036,1822,1499.602036,1.214989,491.490953,0.445078,0.390294,2.463349,2187.505827,310.718986,2116.872109,2.149,1497.607598,1.994438,0,669.134151,4.41353,0,2103.006595,13.865515,0,303.01511,7.703876,0
id597.png,Full,1381,2521,2332.393187,1.080864,789.686593,0.44301,0.390294,2.102224,3590.46991,470.321501,3267.386429,1.721,2330.992297,1.40089,0,1036.883071,2.877232,0,3258.347339,9.03909,0,465.679659,4.641842,0
id598.png,Full,2415,2707,3375.35673,0.801989,1059.075839,0.390704,0.34909,2.337935,5582.102433,515.45615,4163.470447,4.21,3373.099524,2.257205,0,1320.257237,4.912849,0,4148.036275,15.434172,0,507.044237,8.411913,0
id599.png,Full,133,249,305.232379,0.815772,119.433453,0.472908,0.473301,1.212242,506.950351,62.866095,456.187755,0.636,305.232379,0,0,145.174804,0,0,456.187755,0,0,62.866095,0,0
id600.png,Full,2136,3937,3629.712542,1.084659,1178.772732,0.419775,0.381,1.686971,5620.613143,628.057897,4821.818897,3.2,3629.712542,0,0,1534.502861,0,0,4821.818897,0,0,628.057897,0,0
id601.png,Full,3361,3891,4457.328131,0.872944,1529.196762,0.447303,0.416935,2.236867,6918.67545,893.592924,6313.775256,5.387,4456.215688,1.112443,0,2007.218886,2.335324,0,6306.438621,7.336636,0,889.737221,3.855703,0
id602.png,Full,2427,4517,4131.205812,1.093385,1360.754895,0.430602,0.383345,2.652176,6367.751575,785.070185,5632.457155,4.923,4128.359572,2.84624,0,1785.743134,6.676941,0,5611.480926,20.976228,0,772.679149,12.391036,0
id609.png,Full,2677,4421,4951.669498,0.89283,1533.953025,0.38241,0.338667,2.424854,8321.249216,752.315125,5986.75581,7.453,4949.818972,1.850526,0,1901.049345,4.115348,0,5973.827062,12.928748,0,745.105687,7.209438,0
id612.png,Full,4292,7516,5207.561495,1.443286,1648.849749,0.428461,0.399372,1.796051,7370.659574,979.898087,7125.354915,6.223,5207.561495,0,0,2267.220988,0,0,7125.354915,0,0,979.898087,0,0
id613.png,Full,2708,5430,5618.696971,0.966416,1750.54847,0.405773,0.364165,2.302015,8681.933281,933.305663,7192.105183,5.608,5615.213346,3.483626,0,2281.407929,7.320525,0,7169.107077,22.998107,0,921.204843,12.10082,0
id614.png,Full,3659,6583,4993.042445,1.318435,1590.127196,0.450568,0.399372,1.897459,6794.994402,1071.998915,7153.141999,6.466,4993.042445,0,0,2276.38423,0,0,7153.141999,0,0,1071.998915,0,0
id615.png,Full,1287,1527,1974.85122,0.773223,520.179067,0.329129,0.271066,1.808481,3337.318246,230.990769,2055.571875,3.048,1974.85122,0,0,654.261796,0,0,2055.571875,0,0,230.990769,0,0
id616.png,Full,1347,2491,2276.07887,1.094426,775.015027,0.44061,0.401609,1.609224,3475.583662,430.748907,3174.615809,3.879,2276.07887,0,0,1010.314765,0,0,3174.615809,0,0,430.748907,0,0
id617.png,Full,2305,5243,4503.381813,1.164236,1482.483594,0.458959,0.423333,2.109033,6193.429692,924.570192,6516.086326,2.61,4503.00294,0.378873,0,2072.997138,0.780024,0,6513.635807,2.450518,0,923.308598,1.261594,0
id618.png,Full,2989,5677,4941.821372,1.148767,1558.503603,0.435198,0.390294,2.089827,7148.775866,969.819722,6789.720161,5.602,4940.44917,1.372202,0,2158.028269,2.789517,0,6780.956633,8.763527,0,965.365202,4.45452,0
id619.png,Full,1911,2581,3293.572354,0.783648,919.428717,0.350501,0.296333,2.369533,5499.292328,443.536137,3641.413494,5.417,3291.95767,1.614684,0,1155.411351,3.545203,0,3630.27591,11.137584,0,437.409097,6.12704,0
id620.png,Full,3805,6158,4495.287463,1.369879,1053.719667,0.293331,0.254,2.472789,7248.386774,468.165907,4235.569569,6.835,4492.649881,2.637582,0,1341.861409,5.810022,0,4217.316845,18.252723,0,458.06976,10.096147,0
id629.png,Full,439,481,689.972354,0.697129,238.456512,0.431424,0.390294,1.879905,1138.775693,130.025106,940.131157,0.796,689.972354,0,0,299.214947,0,0,940.131157,0,0,130.025106,0,0
id630.png,Full,3353,6510,5098.70976,1.276794,1499.849151,0.39406,0.34909,2.109033,7581.10884,823.763641,6367.177118,3.081,5098.062984,0.646776,0,2024.859959,1.322714,0,6363.021688,4.15543,0,821.638506,2.125135,0
id631.png,Full,1554,3030,2733.157262,1.108608,837.531031,0.400478,0.34909,2.160659,4237.983184,449.862432,3455.349376,1.676,2732.318482,0.83878,0,1097.729281,1.748492,0,3449.856325,5.493051,0,446.998315,2.864117,0
id632.png,Full,2081,4047,3877.410878,1.043738,1170.809486,0.398609,0.34909,1.893204,5946.592442,627.174085,4874.606229,4.13,3877.410878,0,0,1551.320656,0,0,4874.606229,0,0,627.174085,0,0
